,source,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
5301,city scrape,155.0,2.0,1.0,1.0,1.0,921.0,30.0,180.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,27,57,87,177,0.0,0.0,0.0,5.0,5.0,85.0,19.0,66.0,0.0,0.33
5302,city scrape,155.0,2.0,1.0,1.0,1.0,781.0,30.0,180.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,83,0.0,0.0,0.0,5.0,5.0,85.0,19.0,66.0,0.0,0.33
5303,city scrape,2.0,2.0,1.0,1.0,1.0,800.0,4.0,20.0,1.0,4.0,20.0,20.0,4.0,20.0,2,2,2,2,1.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.33
5304,city scrape,9.0,2.0,1.0,1.0,1.0,350.0,28.0,365.0,28.0,28.0,365.0,365.0,28.0,365.0,9,31,61,241,0.0,0.0,0.0,4.75,4.83,8.0,8.0,0.0,0.0,1.24
5305,city scrape,35.0,2.0,1.0,1.0,1.0,603.5,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,6,27,50,230,12.0,0.8,0.0,4.75,4.83,30.0,30.0,0.0,0.0,1.24
5306,previous scrape,2.0,2.0,1.0,1.0,1.3,703.0,28.0,40.0,28.0,28.0,40.0,40.0,28.0,40.0,0,0,0,0,0.0,0.0,0.0,4.55,4.65,1.0,1.0,0.0,0.0,2.17
5307,city scrape,23.0,2.0,1.0,1.0,1.3,703.0,1.0,365.0,1.0,4.0,365.0,365.0,1.5,365.0,12,35,62,323,20.0,0.8,0.0,4.55,4.65,13.0,13.0,0.0,0.0,2.17
5308,city scrape,1.0,2.0,1.0,1.0,1.0,1629.0,1.0,30.0,1.0,1.0,30.0,30.0,1.0,30.0,29,59,89,89,6.0,6.0,0.0,4.67,4.83,1.0,1.0,0.0,0.0,0.66
5309,city scrape,40.0,2.0,1.0,1.0,1.0,367.0,28.0,365.0,28.0,28.0,365.0,365.0,28.0,365.0,29,59,89,313,2.0,2.0,0.0,4.7,4.7,39.0,39.0,0.0,0.0,0.25
5310,city scrape,35.0,3.0,1.0,1.0,2.0,687.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,28,58,88,268,5.0,5.0,0.0,4.2,4.2,30.0,30.0,0.0,0.0,0.51
5311,previous scrape,1.0,2.0,1.0,1.0,1.0,800.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,0,0,0,0,1.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.11
5312,city scrape,6.0,2.0,1.0,1.0,1.0,800.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,29,59,89,179,1.0,1.0,0.0,4.7,4.7,1.0,1.0,0.0,0.0,0.1
5313,city scrape,1.0,2.0,1.0,1.0,1.0,640.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,23,47,77,256,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.3
5314,previous scrape,155.0,1.0,1.0,1.0,1.0,420.0,30.0,180.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,15,15,0.0,0.0,0.0,5.0,5.0,85.0,19.0,66.0,0.0,0.3
5315,city scrape,155.0,1.0,1.0,1.0,1.0,420.0,30.0,180.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,109,0.0,0.0,0.0,5.0,5.0,85.0,19.0,66.0,0.0,0.3
5316,city scrape,155.0,1.0,1.0,1.0,1.0,420.0,30.0,180.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,60,0.0,0.0,0.0,5.0,5.0,85.0,19.0,66.0,0.0,0.3
5317,city scrape,155.0,1.0,1.0,1.0,1.0,420.0,30.0,180.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,26,56,86,176,0.0,0.0,0.0,5.0,5.0,85.0,19.0,66.0,0.0,0.3
5318,previous scrape,1.0,2.0,1.0,1.0,1.0,438.0,7.0,365.0,7.0,7.0,365.0,365.0,7.0,365.0,0,0,0,0,2.0,2.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.3
5319,city scrape,155.0,1.0,1.0,1.0,1.0,438.0,30.0,360.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,131,0.0,0.0,0.0,4.86,4.79,85.0,19.0,66.0,0.0,1.65
5320,city scrape,155.0,1.0,1.0,1.0,1.0,420.0,30.0,180.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,50,0.0,0.0,0.0,4.86,4.79,85.0,19.0,66.0,0.0,1.65
5321,city scrape,155.0,1.0,1.0,1.0,1.0,455.0,30.0,180.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,105,0.0,0.0,0.0,4.86,4.79,85.0,19.0,66.0,0.0,1.65
5322,previous scrape,155.0,1.0,1.0,1.0,1.0,403.0,30.0,360.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,0,0.0,0.0,0.0,4.86,4.79,85.0,19.0,66.0,0.0,1.65
